site_id,lat,lon,elev_m,dist_river_m,pop_served,base_risk,flooded_2021
0,3.5018,102.3057,38.7666,1596.9778,4313.0,0.4962,0
1,3.4867,102.3512,41.6708,895.1778,18130.0,0.3927,0
2,3.4957,102.5264,51.9747,3418.5224,2115.0,0.1386,0
3,3.4973,102.3613,57.5919,1095.5441,8557.0,0.0942,0
4,3.5127,102.3981,41.9175,3065.6367,2923.0,0.3641,0
5,3.4598,102.4274,39.4212,84.4933,17913.0,0.556,0
6,3.5206,102.4604,45.0319,3111.8481,940.0,0.2534,0
7,3.2626,102.4405,44.8319,6042.0111,15609.0,0.2339,0
8,3.5112,102.4321,27.5,0.0,2423.0,0.7542,1
9,3.4835,102.3485,43.8575,1138.6877,21957.0,0.2982,0
10,3.4595,102.4783,39.9014,4208.7924,5414.0,0.3584,0
11,3.438,102.4203,41.6224,950.7946,21849.0,0.3577,0
12,3.5348,102.4861,37.6878,5211.2242,1003.0,0.4104,0
13,3.4411,102.4103,33.6744,1659.2389,26332.0,0.5684,0
14,3.4414,102.425,40.7074,307.5631,21476.0,0.4417,0
15,3.5085,102.4104,42.9241,2209.9322,3408.0,0.3914,0
16,3.5456,102.5203,34.9017,6615.3853,2441.0,0.4592,0
17,3.5416,102.5057,46.1085,6820.4164,2332.0,0.203,0
18,3.4813,102.3499,42.5972,1424.2036,21691.0,0.3232,0
19,3.4816,102.3838,37.0633,275.4113,9561.0,0.5643,0
20,3.5123,102.4118,39.0834,1989.8031,3161.0,0.576,0
21,3.4449,102.4408,40.5351,826.2495,13004.0,0.3814,0
22,3.5138,102.4187,44.0835,1228.0283,2911.0,0.3735,0
23,3.5532,102.5327,46.8644,5840.8391,1658.0,0.1975,0
24,3.5105,102.4067,44.9578,2578.362,3232.0,0.2817,0
25,3.5066,102.3827,42.1268,1881.9462,1851.0,0.3836,0
26,3.5123,102.3148,38.6976,1085.7174,1885.0,0.4926,0
27,3.5851,102.6584,22.4024,6036.7358,655.0,0.7841,0
28,3.4965,102.3168,47.6652,2071.7696,9050.0,0.2232,0
29,3.5841,102.6733,32.7539,5701.6736,809.0,0.5445,0
30,3.52,102.1735,60.7829,833.208,2233.0,0.068,0
31,3.4967,102.1593,56.131,430.8246,924.0,0.1143,0
32,3.4717,102.4536,51.6015,1383.851,6059.0,0.1716,0
33,3.4486,102.4287,37.7137,382.5618,21368.0,0.5009,0
34,3.4772,102.4377,39.3924,160.869,2710.0,0.4963,0
35,3.5858,102.6493,34.2105,6281.2082,682.0,0.5455,0
36,3.5098,102.373,42.2455,2485.1371,916.0,0.3345,0
37,3.4526,102.414,30.0513,574.6185,26759.0,0.6713,0
38,3.5883,102.6101,35.6668,6347.8251,667.0,0.4433,0
39,3.4526,102.3459,59.0853,1711.1255,17715.0,0.0763,0
40,3.4544,102.3471,52.9086,1471.0729,19393.0,0.1387,0
41,3.4338,102.397,45.5036,3082.1642,14860.0,0.2528,0
42,3.4488,102.3554,52.6633,2146.083,16036.0,0.1441,0
43,3.4544,102.4759,39.1585,4066.4557,5858.0,0.3772,0
44,3.46,102.4004,33.4346,721.9108,24110.0,0.6137,0
45,3.4721,102.3874,32.3443,1377.0633,13497.0,0.6005,0
46,3.4558,102.4491,45.7278,1292.8464,8736.0,0.2644,0
47,3.4633,102.4715,44.1729,3379.7247,6413.0,0.2686,0
48,3.4684,102.3957,36.0111,633.6967,17414.0,0.6499,0
49,3.4685,102.3439,67.9242,697.3864,30210.0,0.0323,0
50,3.4556,102.4554,41.3081,1883.8915,8208.0,0.349,0
51,3.2214,102.421,40.7156,3595.7354,3492.0,0.3484,0
52,3.2798,102.5868,48.2686,4314.7194,1084.0,0.1854,0
53,3.4599,102.3571,53.9238,1141.4412,22079.0,0.1269,0
