rank,status,lat,lon,staging_elev_m,route_km,connections,n_towers,max_route_depth_m
1,REACHABLE,3.4575375,102.3990154,38,4.5,326064,19,0.0
2,CUT OFF — pre-position BEFORE flood,3.3150142,102.4574326,36,,67218,19,
3,CUT OFF — pre-position BEFORE flood,3.5579707,102.6510199,36,,18169,19,
4,CUT OFF — pre-position BEFORE flood,3.5108466,102.4175457,43,,14532,5,
5,CUT OFF — pre-position BEFORE flood,3.4286099,102.6067954,40,,9133,11,
6,CUT OFF — pre-position BEFORE flood,3.5269788,102.6815721,38,,8784,9,
7,CUT OFF — pre-position BEFORE flood,3.4849704,102.5885557,41,,11099,5,
8,CUT OFF — pre-position BEFORE flood,3.5189721,102.5844245,49,,8455,6,
9,REACHABLE,3.4844748,102.3448938,61,11.0,20025,1,0.0
10,CUT OFF — pre-position BEFORE flood,3.266323,102.5627396,51,,2763,2,
11,REACHABLE,3.3971847,102.4234222,41,13.5,2370,2,0.0
12,REACHABLE,3.3555795,102.4248961,67,19.9,2281,2,0.0
13,CUT OFF — pre-position BEFORE flood,3.4358981,102.4593057,48,,3613,1,
14,CUT OFF — pre-position BEFORE flood,3.2701847,102.5392355,43,,1753,2,
15,REACHABLE,3.5780516,102.3798577,52,19.1,2057,1,0.22
16,REACHABLE,3.5088043,102.3870147,53,12.0,1948,1,0.22
17,REACHABLE,3.5307977,102.4310316,43,16.2,1714,1,0.22
18,CUT OFF — pre-position BEFORE flood,3.3309706,102.4750238,38,,1589,1,
19,REACHABLE,3.5450124,102.3908199,50,15.5,1570,1,0.22
20,CUT OFF — pre-position BEFORE flood,3.4992212,102.2580734,63,,1464,1,
21,CUT OFF — pre-position BEFORE flood,3.3375925,102.5004029,38,,1322,1,
22,CUT OFF — pre-position BEFORE flood,3.3730761,102.5277909,53,,1118,1,
23,CUT OFF — pre-position BEFORE flood,3.534106,102.5509223,45,,1042,1,
24,REACHABLE,3.5212594,102.325705,45,21.1,1009,1,0.22
25,CUT OFF — pre-position BEFORE flood,3.2196659,102.5204293,44,,830,1,
26,CUT OFF — pre-position BEFORE flood,3.4101477,102.5532036,39,,608,1,
27,CUT OFF — pre-position BEFORE flood,3.2377027,102.5310042,63,,604,1,
